"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"nortest","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.0-4",NA,NA,"stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"numDeriv","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"nycflights13","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.0.2",NA,"R (>= 3.2)","tibble",NA,"dplyr",NA,"CC0",NA,NA,NA,NA,"no","4.3.1"
"oaqc","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.0",NA,"R (>= 3.4)",NA,NA,"igraph, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"odbc","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.3.5",NA,"R (>= 3.2.0)","bit64, blob (>= 1.2.0), DBI (>= 1.0.0), hms, methods, Rcpp (>=
0.12.11), rlang (>= 0.2.0)","Rcpp","covr, DBItest, magrittr, RSQLite, testthat, tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"officer","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.6.2",NA,NA,"grDevices, stats, graphics, utils, zip (>= 2.1.0), xml2 (>=
1.1.0), openssl, R6, uuid, ragg",NA,"testthat, devEMF, ggplot2, rmarkdown, doconv (>= 0.3.0),
knitr, rsvg, magick",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"openssl","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2.1.1",NA,NA,"askpass",NA,"curl, testthat (>= 2.1.0), digest, knitr, rmarkdown,
jsonlite, jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"openxlsx","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","4.2.5.2",NA,"R (>= 3.3.0)","grDevices, methods, Rcpp, stats, stringi, utils, zip","Rcpp","knitr, rmarkdown, roxygen2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"optimx","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2023-8.13",NA,NA,"numDeriv, nloptr, pracma",NA,"knitr, rmarkdown, setRNG, BB, ucminf, minqa, dfoptim,
lbfgsb3c, lbfgs, subplex, marqLevAlg, testthat (>= 3.0.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"ordinal","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2022.11-16",NA,"R (>= 2.13.0), stats, methods","ucminf, MASS, Matrix, numDeriv, nlme",NA,"lme4, nnet, xtable, testthat (>= 0.8), tools",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"origami","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.0.7",NA,"R (>= 3.0.0),","abind, methods, data.table, assertthat, future, future.apply,
listenv",NA,"testthat, class, rmarkdown, knitr, stringr, glmnet, forecast,
randomForest",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"orthopolynom","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.0-6.1",NA,"R (>= 2.0.1)","polynom, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"overlapping","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2.1",NA,"R (>= 3.0.0), ggplot2, testthat",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"packrat","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.9.2",NA,"R (>= 3.0.0)","tools, utils",NA,"devtools, httr, knitr, mockery, rmarkdown, testthat (>=
3.0.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"PairedData","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.1.1",NA,"methods,graphics,MASS,gld,mvtnorm,lattice,ggplot2",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"paletteer","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.5.0",NA,"R (>= 2.10)","prismatic, rematch2, rlang, rstudioapi",NA,"covr, ggplot2 (>= 3.3.0), ggthemes (>= 4.0.0), harrypotter
(>= 2.1.0), knitr, oompaBase, palr, pals, rmarkdown, scico,
testthat (>= 2.1.0), vdiffr, viridisLite",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"palmerpenguins","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.1.1",NA,"R (>= 2.10)",NA,NA,"knitr, rmarkdown, tibble, ggplot2, dplyr, tidyr, recipes",NA,"CC0",NA,NA,NA,NA,"no","4.3.1"
"pammtools","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.5.92",NA,"R (>= 3.5.0)","mgcv, survival (>= 2.39-5), checkmate, magrittr, rlang, tidyr
(>= 1.0.0), ggplot2 (>= 3.2.2), dplyr (>= 1.0.0), purrr (>=
0.2.3), tibble, lazyeval, Formula, mvtnorm, pec, vctrs (>=
0.3.0)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"pan","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.9",NA,NA,NA,NA,"mitools, lme4",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"pander","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.6.5",NA,"R (>= 2.15.0)","grDevices, graphics, methods, utils, stats, digest, tools,
Rcpp","Rcpp","grid, lattice, ggplot2 (>= 0.9.2), sylly, sylly.en, logger,
survival, microbenchmark, zoo, nlme, descr, MASS, knitr,
rmarkdown, tables, reshape, memisc, Epi, randomForest, tseries,
gtable, rms, forecast, data.table",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"papaja","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.1.2",NA,"R (>= 3.6), tinylabels (>= 0.1.0)","bookdown (>= 0.9.1), broom (>= 0.7.0), glue (>= 1.4.0), knitr
(>= 1.26), methods, rmarkdown (>= 2.4), rmdfiltr (>= 0.1.3),
utils, yaml, zip",NA,"afex, BayesFactor, beeswarm, boot, car, dplyr (>= 1.1.0),
effectsize (>= 0.4.4), emmeans, ggforce, ggplot2, latex2exp,
lme4, lmerTest, MBESS, multcomp, nlme, R.rsp, skimr, spelling,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"paradox","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.11.1",NA,NA,"backports, checkmate, data.table, methods, mlr3misc (>=
0.9.4), R6",NA,"knitr, lhs, spacefillr, testthat",NA,"LGPL-3",NA,NA,NA,NA,"no","4.3.1"
"parallelly","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.36.0",NA,NA,"parallel, tools, utils",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.3.1"
"parameters","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.21.2",NA,"R (>= 3.6)","bayestestR (>= 0.13.0), datawizard (>= 0.7.0), insight (>=
0.19.4), graphics, methods, stats, utils",NA,"AER, afex, aod, BayesFactor, BayesFM, bbmle, betareg, BH,
biglm, blme, boot, brglm2, brms, broom, cAIC4, car, carData,
cgam, ClassDiscovery, clubSandwich, cluster, coda, cplm,
dbscan, domir (>= 0.2.0), drc, DRR, effectsize (>= 0.8.2),
EGAnet (>= 0.7), emmeans (>= 1.7.0), estimatr, factoextra,
FactoMineR, fastICA, fixest, fpc, gam, gamlss, gee, geepack,
ggeffects (>= 1.2.0), ggplot2, GLMMadaptive, glmmTMB,
GPArotation, gt, haven, httr, Hmisc, ivprobit, ivreg, knitr,
lavaan, lfe, lm.beta, lme4, lmerTest, lmtest, logspline, lqmm,
M3C, marginaleffects (>= 0.10.0), MASS, Matrix, mclogit,
mclust, MCMCglmm, mediation, merDeriv, metaBMA, metafor, mfx,
mgcv, mice, mmrm, multcomp, MuMIn, NbClust, nFactors,
nestedLogit, nlme, nnet, openxlsx, ordinal, panelr, pbkrtest,
PCDimension, performance (>= 0.10.1), plm, PMCMRplus, poorman,
posterior, PROreg, pscl, psych, pvclust, quantreg,
randomForest, rmarkdown, rms, rstanarm, sandwich, see (>=
0.7.5), sparsepca, survey, survival, testthat, tidyselect, TMB,
truncreg, VGAM, withr, WRS2",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"parsedate","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.3.1",NA,NA,NA,NA,"covr, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"parsnip","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.1.1",NA,"R (>= 3.5)","cli, dplyr (>= 1.1.0), generics (>= 0.1.2), ggplot2, globals,
glue, hardhat (>= 1.1.0), lifecycle, magrittr, pillar,
prettyunits, purrr (>= 1.0.0), rlang (>= 0.3.1), stats, tibble
(>= 2.1.1), tidyr (>= 1.3.0), utils, vctrs (>= 0.6.0), withr",NA,"C50, covr, dials (>= 1.1.0), earth, ggrepel, keras, kernlab,
kknn, knitr, LiblineaR, MASS, Matrix, mgcv, modeldata, nlme,
prodlim, ranger (>= 0.12.0), remotes, rmarkdown, rpart,
sparklyr (>= 1.0.0), survival, tensorflow, testthat (>= 3.0.0),
xgboost (>= 1.5.0.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"party","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.3-13",NA,"R (>= 3.0.0), methods, grid, stats, mvtnorm (>= 1.0-2),
modeltools (>= 0.2-21), strucchange","survival (>= 2.37-7), coin (>= 1.1-0), zoo, sandwich (>=
1.1-1)","mvtnorm","TH.data (>= 1.0-3), mlbench, colorspace, MASS, vcd, ipred,
varImp, randomForest",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"patchwork","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.1.3",NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics, rlang, cli",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"pbapply","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.7-2",NA,"R (>= 3.2.0)","parallel",NA,"shiny, future, future.apply",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"pbkrtest","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.5.2",NA,"R (>= 4.1.0), lme4 (>= 1.1.31)","broom, dplyr, MASS, Matrix (>= 1.2.3), methods, numDeriv,
parallel",NA,"knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"PCICt","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.5-4.4",NA,"R (>= 2.12.0), methods, graphics",NA,NA,"RUnit",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"pec","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2023.04.12",NA,"R (>= 2.9.0), prodlim (>= 1.4.9)","foreach (>= 1.4.2), rms (>= 4.2-0), survival (>= 2.37-7),
riskRegression (>= 2020.02.05), lava (>= 1.4.1), timereg (>=
1.8.9),",NA,"party, cmprsk (>= 2.2-7), rpart, Hmisc (>= 3.14-4)","randomForestSRC","GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"penalized","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.9-52",NA,"R (>= 2.10.0), survival, methods","Rcpp","Rcpp, RcppArmadillo","globaltest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"performance","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.10.5",NA,"R (>= 3.6)","bayestestR (>= 0.13.0), insight (>= 0.19.4), datawizard (>=
0.7.0), methods, stats, utils",NA,"AER, afex, BayesFactor, bayesplot, betareg, bigutilsr,
blavaan, boot, brms, car, CompQuadForm, correlation, cplm,
dbscan, estimatr, fixest, forecast, gamm4, ggplot2, glmmTMB,
graphics, Hmisc, httr, ICS, ICSOutlier, ISLR, ivreg, lavaan,
lme4, lmtest, loo, MASS, Matrix, mclogit, mclust, metadat,
metafor, mgcv, mlogit, multimode, nlme, nonnest2, ordinal,
parallel, parameters (>= 0.20.3), patchwork, pscl, psych,
qqplotr (>= 0.0.6), randomForest, rmarkdown, rstanarm,
rstantools, sandwich, see (>= 0.7.5), survey, survival,
testthat, tweedie, VGAM, withr",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"PerformanceAnalytics","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2.0.4",NA,"R (>= 3.5.0), xts (>= 0.10.0)","methods, quadprog, zoo",NA,"dygraphs, Hmisc, MASS, quantmod, gamlss, gamlss.dist,
robustbase, quantreg, tinytest, ggplot2, RColorBrewer,
googleVis, plotly, gridExtra, ggpubr, RPESE, R.rsp, RobStatTM",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"permute","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.9-7",NA,"R (>= 2.14.0)","stats",NA,"vegan (>= 2.0-0), testthat (>= 0.5), parallel, knitr,
rmarkdown, bookdown, sessioninfo",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"phylolm","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2.6.2",NA,"R (>= 4.0), ape","future.apply",NA,"testthat",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"pillar","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.9.0",NA,NA,"cli (>= 2.3.0), fansi, glue, lifecycle, rlang (>= 1.0.2), utf8
(>= 1.1.0), utils, vctrs (>= 0.5.0)",NA,"bit64, DBI, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nanotime, nycflights13, palmerpenguins,
rmarkdown, scales, stringi, survival, testthat (>= 3.1.1),
tibble, units (>= 0.7.2), vdiffr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"pingr","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2.0.2",NA,NA,"processx, utils",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"pkgbuild","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.4.2",NA,"R (>= 3.4)","callr (>= 3.2.0), cli (>= 3.4.0), crayon, desc, prettyunits,
processx, R6, rprojroot",NA,"covr, cpp11, knitr, mockery, Rcpp, rmarkdown, testthat (>=
3.0.0), withr (>= 2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"pkgconfig","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"pkgdown","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2.0.7",NA,"R (>= 3.1.0)","bslib (>= 0.3.1), callr (>= 3.7.3), cli, desc, digest, downlit
(>= 0.4.0), fs (>= 1.4.0), httr (>= 1.4.2), jsonlite, magrittr,
memoise, purrr, ragg, rlang (>= 1.0.0), rmarkdown (>=
1.1.9007), tibble, whisker, withr (>= 2.4.3), xml2 (>= 1.3.1),
yaml",NA,"covr, diffviewer, evaluate, htmltools, htmlwidgets, knitr,
lifecycle, methods, openssl, pkgload (>= 1.0.2), rsconnect,
rstudioapi, rticles, sass, testthat (>= 3.1.3), tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"pkgKitten","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.2.3",NA,NA,NA,NA,"whoami (>= 1.1.0), tinytest, roxygen2",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"pkgload","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.3.3",NA,"R (>= 3.4.0)","cli (>= 3.3.0), crayon, desc, fs, glue, methods, pkgbuild,
rlang (>= 1.1.1), rprojroot, utils, withr (>= 2.4.3)",NA,"bitops, covr, mathjaxr, mockr, pak, Rcpp, remotes,
rstudioapi, testthat (>= 3.1.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"plogr","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"plot3D","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.4",NA,"R (>= 2.15)","misc3d, stats, graphics, grDevices, methods",NA,NA,NA,"GPL (>= 3.0)",NA,NA,NA,NA,"no","4.3.1"
"plotly","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","4.10.2",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr (>= 1.3.0), jsonlite (>= 1.6), magrittr,
digest, viridisLite, base64enc, htmltools (>= 0.3.6),
htmlwidgets (>= 1.5.2.9001), tidyr (>= 1.0.0), RColorBrewer,
dplyr, vctrs, tibble, lazyeval (>= 0.2.0), rlang (>= 0.4.10),
crosstalk, purrr, data.table, promises",NA,"MASS, maps, hexbin, ggthemes, GGally, ggalluvial, testthat,
knitr, shiny (>= 1.1.0), shinytest (>= 1.3.0), curl, rmarkdown,
Cairo, broom, webshot, listviewer, dendextend, maptools, rgeos,
sf, png, IRdisplay, processx, plotlyGeoAssets, forcats,
palmerpenguins, rversions, reticulate, rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"plotrix","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","3.8-2",NA,"R (>= 3.5.0)","grDevices, graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"plyr","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.8.9",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"png","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.1-8",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"poLCA","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.6.0.1",NA,"scatterplot3d, MASS",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"polspline","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.1.23",NA,NA,"stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"polyclip","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.10-6",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"BSL",NA,NA,NA,NA,"yes","4.3.1"
"polynom","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.4-1",NA,NA,"stats, graphics",NA,"knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"pool","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.0.1",NA,"methods, R (>= 3.0.0)","DBI, later (>= 1.0.0), R6, rlang (>= 1.0.0), withr",NA,"covr, dbplyr (>= 2.0.0), dplyr, knitr, rmarkdown, RMySQL,
RSQLite, shiny, testthat (>= 3.0.0), tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"posterior","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.4.1",NA,"R (>= 3.2.0)","methods, abind, checkmate, rlang (>= 1.0.6), stats, tibble (>=
3.1.0), vctrs (>= 0.5.0), tensorA, pillar, distributional,
parallel, matrixStats",NA,"testthat (>= 2.1.0), caret (>= 6.0.84), gbm (>= 2.1.8),
randomForest (>= 4.6.14), e1071 (>= 1.7.3), dplyr, tidyr,
knitr, ggplot2, rmarkdown",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"pracma","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2.4.2",NA,"R (>= 3.1.0)","graphics, grDevices, stats, utils",NA,"NlcOptim, quadprog",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.1"
"praise","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"prediction","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.3.14",NA,"R (>= 3.5.0)","utils, stats, data.table",NA,"datasets, methods, testthat","AER, aod, betareg, biglm, brglm, caret, crch, e1071, earth,
ff, ffbase, gam (>= 1.15), gee, glmnet, glmx, kernlab, lme4,
MASS, mclogit, mda, mlogit, MNP, nlme, nnet, ordinal, plm,
pscl, quantreg, rpart, sampleSelection, speedglm, survey (>=
3.31-5), survival, truncreg, VGAM","MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"prettyunits","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.2.0",NA,"R(>= 2.10)",NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"prismatic","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.1.1",NA,"R (>= 3.2)","graphics, farver (>= 2.0.1), grDevices",NA,"covr, crayon, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"pROC","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.18.4",NA,"R (>= 2.14)","methods, plyr, Rcpp (>= 0.11.1)","Rcpp","microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr, ggplot2, rlang",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.3.1"
"processx","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","3.8.2",NA,"R (>= 3.4.0)","ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.7.3), cli (>= 3.3.0), codetools, covr, curl,
debugme, parallel, rlang (>= 1.0.2), testthat (>= 3.0.0),
webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"prodlim","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2023.08.28",NA,"R (>= 2.9.0)","Rcpp (>= 0.11.5), stats, data.table, grDevices, graphics,
diagram, survival, KernSmooth, lava","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"profvis","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.3.8",NA,"R (>= 3.0)","htmlwidgets (>= 0.3.2), purrr, rlang (>= 0.4.9), stringr,
vctrs",NA,"knitr, ggplot2, rmarkdown, testthat (>= 3.0.0), devtools,
shiny, htmltools",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"progress","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.2.2",NA,NA,"hms, prettyunits, R6, crayon",NA,"Rcpp, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"progressr","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.14.0",NA,"R (>= 3.5.0)","digest, utils",NA,"graphics, tcltk, beepr, cli, crayon, pbmcapply, progress,
purrr, foreach, plyr, doFuture, future, future.apply, furrr,
RPushbullet, rstudioapi, shiny, commonmark, base64enc, tools",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.1"
"promises","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.2.1",NA,NA,"fastmap (>= 1.1.0), later, magrittr (>= 1.5), R6, Rcpp, rlang,
stats","later, Rcpp","future (>= 1.21.0), knitr, purrr, rmarkdown, spelling,
testthat, vembedr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"proto","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.0.0",NA,NA,NA,NA,"testthat, covr",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"proxy","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.4-27",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"PRROC","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.3.1",NA,NA,NA,NA,"testthat, ggplot2, ROCR",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"ps","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.7.5",NA,"R (>= 3.4)","utils",NA,"callr, covr, curl, pillar, pingr, processx (>= 3.1.0), R6,
rlang, testthat (>= 3.0.0), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"pscl","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.5.5.1",NA,NA,"MASS, datasets, grDevices, graphics, stats, utils",NA,"lattice, MCMCpack, car, lmtest, sandwich, zoo, coda, vcd,
mvtnorm, mgcv",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"Publish","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2023.01.17",NA,"prodlim (>= 1.5.4)","survival (>= 2.38), data.table (>= 1.10.4), lava (>= 1.5.1),
multcomp (>= 1.4)",NA,"riskRegression (>= 2020.09.07), testthat, smcfcs (>= 1.4.1),
rms (>= 6.1.0), mitools (>= 2.4), nlme (>= 3.1-131)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"purrr","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.0.2",NA,"R (>= 3.5.0)","cli (>= 3.6.1), lifecycle (>= 1.0.3), magrittr (>= 1.5.0),
rlang (>= 1.1.1), vctrs (>= 0.6.3)","cli","covr, dplyr (>= 0.7.8), httr, knitr, lubridate, rmarkdown,
testthat (>= 3.0.0), tibble, tidyselect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"pwr","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.3-0",NA,NA,"stats, graphics",NA,"ggplot2, scales, knitr, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.1"
"qgam","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.3.4",NA,"R (>= 3.5.0), mgcv (>= 1.8-28)","shiny, plyr, doParallel, parallel, grDevices",NA,"knitr, rmarkdown, MASS, RhpcBLASctl, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"qrng","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.0-9",NA,"R (>= 3.0.0)","utils",NA,"randtoolbox, copula","","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
